"Subject","Age","Gender","ProvinceTerritory","postalcode","electionmunicipal","safecommunity","safetransiting","education","childreninhousehold","income","democracy.satisfaction","safety.Canada","safety.city","Visible.Minority","city"
8,33,"Women","ON","M5T","Yes",8,8,9,2,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No","Toronto"
14,25,"Women","ON","M4B","Don't Know",6,9,8,2,"$90,000 to $109,999","Don't know","Got worse","Got better","Yes","Toronto"
15,30,"Men","ON","M2J","Yes",9,5,7,1,"$30,000 to $59,999","Very Satisfied","Got worse","Got worse","No","Toronto"
21,43,"Women","MN","R3C","Yes",9,9,5,3,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No","Winnipeg"
25,34,"Women","BC","V3T","Yes",10,10,9,1,"$30,000 to $59,999","Very Satisfied","Got better","Got better","No","Metro Vancouver"
27,41,"Women","BC","V5Y","No",8,9,5,0,"$150,000 to $199,999","Very Satisfied","Stayed about the same","Stayed about the same","No","Metro Vancouver"
29,24,"Women","BC","V3T","No",8,7,4,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No","Metro Vancouver"
32,42,"Women","AB","T3G","Don't Know",7,6,7,2,"Less than $30,000","Not very satisfied","Stayed about the same","Stayed about the same","No","Calgary"
33,22,"Women","QB","H4E","No",6,2,6,1,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No","Montreal"
34,28,"Men","MN","R2G","No",5,1,5,1,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No","Winnipeg"
40,29,"Men","ON","M1L","Yes",9,9,9,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No","Toronto"
46,30,"Women","BC","V5C","No",6,6,6,1,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Got worse","No","Metro Vancouver"
50,29,"Women","BC","V4A","Don't Know",5,5,7,1,"Less than $30,000","Don't know","Don't know","Don't know","No","Metro Vancouver"
56,31,"Women","MN","R3V","No",9,2,7,2,"$30,000 to $59,999","Don't know","Stayed about the same","Stayed about the same","No","Winnipeg"
58,39,"Men","MN","R2M","No",8,7,7,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No","Winnipeg"
62,34,"Men","AB","T2X","No",10,10,7,0,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No","Calgary"
63,42,"Men","MN","R3G","Yes",6,5,10,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No","Winnipeg"
69,51,"Men","QB","H4C","No",5,5,5,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","Yes","Montreal"
71,34,"Women","ON","M1M","Yes",6,6,9,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No","Toronto"
