"Subject","Age","Gender","ProvinceTerritory","postalcode","electionmunicipal","safecommunity","safetransiting","education","childreninhousehold","income","democracy.satisfaction","safety.Canada","safety.city","Visible.Minority"
1,42,"Men","NS","B2W","Yes",8,8,9,1,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
2,29,"Women","QB","J7R","Yes",7,7,7,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
3,36,"Women","NB","E7H","No",5,5,2,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
4,21,"Men","NB","E1A","No",7,7,5,1,"Less than $30,000","Not very satisfied","Got worse","Got worse","No"
5,36,"Men","NB","E4V","No",10,10,9,NA,"$30,000 to $59,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
6,28,"Women","ON","L7M","No",8,6,7,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
7,25,"Men","NL","A1C","Yes",7,6,9,0,"Less than $30,000","Fairly Neutral","Stayed about the same","Got worse","No"
8,33,"Women","ON","M5T","Yes",8,8,9,2,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
9,25,"Women","ON","L0C","Yes",7,7,5,0,"Less than $30,000","Not very satisfied","Got worse","Don't know","No"
10,33,"Women","ON","L4W","Yes",9,9,9,0,"$30,000 to $59,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
11,24,"Women","ON","L5L","Yes",8,8,10,0,"Less than $30,000","Not very satisfied","Got worse","Got worse","No"
12,32,"Men","NS","B4G","Yes",8,8,5,NA,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
13,72,"Women","ON","L3V","Yes",10,10,5,0,"$90,000 to $109,999","Fairly Neutral","Got better","Got better","Yes"
14,25,"Women","ON","M4B","Don't Know",6,9,8,2,"$90,000 to $109,999","Don't know","Got worse","Got better","Yes"
15,30,"Men","ON","M2J","Yes",9,5,7,1,"$30,000 to $59,999","Very Satisfied","Got worse","Got worse","No"
16,36,"Women","MN","R2M","Yes",7,2,11,NA,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
17,30,"Men","AB","T2Z","No",6,7,9,NA,"$60,000 to $89,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
18,37,"Men","AB","T6E","No",8,8,9,NA,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
19,32,"Women","AB","T4B","Yes",7,6,6,3,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
20,22,"Men","ON","N5Z","Don't Know",6,4,5,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
21,43,"Women","MN","R3C","Yes",9,9,5,3,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
22,30,"Women","AB","T5E","Yes",7,3,9,2,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
23,40,"Women","AB","T5S","Yes",9,1,7,2,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
24,43,"Men","AB","T6T","Yes",10,6,7,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","Yes"
25,34,"Women","BC","V3T","Yes",10,10,9,1,"$30,000 to $59,999","Very Satisfied","Got better","Got better","No"
26,29,"Men","ON","L4H","No",7,5,10,0,"$200,000 or more","Neutral","Stayed about the same","Stayed about the same","No"
27,41,"Women","BC","V5Y","No",8,9,5,0,"$150,000 to $199,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
28,43,"Women","BC","V2V","No",7,8,5,2,"$30,000 to $59,999","Fairly Neutral","Got better","Stayed about the same","Yes"
29,24,"Women","BC","V3T","No",8,7,4,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
30,39,"Women","AB","T5Z","No",8,5,10,2,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
31,33,"Women","NB","E9G","Yes",7,6,7,NA,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
32,42,"Women","AB","T3G","Don't Know",7,6,7,2,"Less than $30,000","Not very satisfied","Stayed about the same","Stayed about the same","No"
33,22,"Women","QB","H4E","No",6,2,6,1,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
34,28,"Men","MN","R2G","No",5,1,5,1,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
35,43,"Men","BC","V8R","Yes",10,5,7,2,"$60,000 to $89,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
36,41,"Men","AB","T5T","Yes",10,10,10,2,"$200,000 or more","Neutral","Stayed about the same","Stayed about the same","No"
37,30,"Women","QB","G7X","No",7,8,7,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
38,35,"Men","BC","V8A","Yes",8,7,9,NA,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","No"
39,22,"Women","ON","N9A","Yes",3,2,10,3,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
40,29,"Men","ON","M1L","Yes",9,9,9,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
41,20,"Men","ON","K8N","No",10,10,7,0,"$110,000 to $149,999","Not very satisfied","Don't know","Don't know","No"
